pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
1 1.01 60 60
vel: 1.01 (0.4999238475781951, 0.008726203218643036)
1 1.08 60 60
vel: 1.08 (0.49969541350954927, 0.017449748351253902)
1 1.11 61 60
vel: 1.11 (0.4993147673772853, 0.02616797812147098)
1 1.18 61 60
vel: 1.18 (0.49878202512991265, 0.0348782368720606)
1 1.21 62 60
vel: 1.21 (0.4980973490458709, 0.04357787137382729)
1 1.28 62 60
vel: 1.28 (0.49726094768413986, 0.05226423163382776)
1 1.31 63 60
vel: 1.31 (0.4962730758206604, 0.06093467170257583)
1 1.38 63 60
vel: 1.38 (0.4951340343707855, 0.06958655048003237)
1 1.41 64 60
vel: 1.41 (0.4938441702975709, 0.07821723252011736)
1 1.48 64 60
vel: 1.48 (0.49240387650610273, 0.08682408883346682)
1 1.51 65 60
vel: 1.51 (0.49081359172383543, 0.0954044976882713)
1 1.58 65 60
vel: 1.58 (0.48907380036690995, 0.10395584540887626)
1 1.61 66 60
vel: 1.61 (0.4871850323926168, 0.11247552717193088)
1 1.68 66 60
vel: 1.68 (0.4851478631379962, 0.12096094779983702)
1 1.71 67 61
vel: 1.71 (0.482962913144533, 0.12940952255126348)
1 1.77 67 61
vel: 1.77 (0.48063084796916655, 0.13781867790849844)
1 1.81 68 61
vel: 1.81 (0.478152377981516, 0.14618585236136994)
1 1.87 68 61
vel: 1.87 (0.4755282581475768, 0.1545084971874715)
1 1.91 69 61
vel: 1.91 (0.47275928779966137, 0.16278407722857935)
1 1.97 69 61
vel: 1.97 (0.46984631039295266, 0.17101007166283466)
1 2.00 70 61
vel: 2.00 (0.4667902132486006, 0.17918397477264847)
1 2.07 70 62
vel: 2.07 (0.4635919272833888, 0.18730329670795953)
1 2.10 71 62
vel: 2.10 (0.460252426726214, 0.19536556424463924)
1 2.17 71 62
vel: 2.17 (0.4567727288213064, 0.2033683215379014)
1 2.21 72 62
vel: 2.21 (0.45315389351831925, 0.21130913087034742)
1 2.27 72 63
vel: 2.27 (0.4493970231495865, 0.21918557339454026)
1 2.30 72 63
vel: 2.30 (0.4455032620941779, 0.22699524986977337)
1 2.37 73 63
vel: 2.37 (0.44147379642946305, 0.23473578139294204)
1 2.40 73 63
vel: 2.40 (0.4373098535697011, 0.24240481012316906)
1 2.47 74 63
vel: 2.47 (0.4330127018922241, 0.25)
1 2.50 74 64
vel: 2.50 (0.42858365035105805, 0.257519037455026)
1 2.57 75 64
vel: 2.57 (0.42402404807820915, 0.2649596321166001)
1 2.60 75 64
vel: 2.60 (0.419335283972714, 0.27231951750751193)
1 2.67 75 65
vel: 2.67 (0.4145187862775259, 0.2795964517353724)
1 2.70 76 65
vel: 2.70 (0.40957602214449196, 0.28678821817551636)
1 2.77 76 65
vel: 2.77 (0.4045084971874786, 0.29389262614623135)
1 2.80 77 65
vel: 2.80 (0.3993177550236453, 0.30090751157602824)
1 2.87 77 66
vel: 2.87 (0.39400537680336356, 0.307830737662826)
1 2.90 77 66
vel: 2.90 (0.38857298072848323, 0.3146601955249224)
1 2.97 78 66
vel: 2.97 (0.38302222155948584, 0.32139380484326807)
1 3.03 78 67
vel: 3.03 (0.37735479011138295, 0.3280295144952561)
1 3.07 79 67
vel: 3.07 (0.37157241273870056, 0.33456530317943134)
1 3.13 79 67
vel: 3.13 (0.3656768508095922, 0.34099918003124685)
1 3.17 79 68
vel: 3.17 (0.35966990016932243, 0.34732918522949774)
1 3.23 80 68
vel: 3.23 (0.3535533905932766, 0.3535533905932766)
1 3.27 80 68
vel: 3.27 (0.34732918522949774, 0.35966990016932243)
1 3.33 80 69
vel: 3.33 (0.34099918003124685, 0.3656768508095922)
1 3.37 81 69
vel: 3.37 (0.33456530317943134, 0.37157241273870056)
1 3.43 81 70
vel: 3.43 (0.3280295144952561, 0.37735479011138295)
1 3.47 81 70
vel: 3.47 (0.32139380484326807, 0.38302222155948584)
1 3.53 82 70
vel: 3.53 (0.3146601955249224, 0.38857298072848323)
1 3.57 82 71
vel: 3.57 (0.307830737662826, 0.39400537680336356)
1 3.63 82 71
vel: 3.63 (0.30090751157602824, 0.3993177550236453)
1 3.67 83 72
vel: 3.67 (0.29389262614623135, 0.4045084971874786)
1 3.74 83 72
vel: 3.74 (0.28678821817551636, 0.40957602214449196)
1 3.77 83 72
vel: 3.77 (0.2795964517353724, 0.4145187862775259)
1 3.80 83 73
vel: 3.80 (0.27231951750751193, 0.419335283972714)
1 3.87 84 73
vel: 3.87 (0.2649596321166001, 0.42402404807820915)
1 3.90 84 74
vel: 3.90 (0.257519037455026, 0.42858365035105805)
1 3.97 84 74
vel: 3.97 (0.25, 0.4330127018922241)
1 4.03 84 74
vel: 4.03 (0.24240481012316195, 0.4373098535697011)
1 4.07 85 75
vel: 4.07 (0.23473578139294204, 0.44147379642946305)
1 4.13 85 75
vel: 4.13 (0.22699524986977337, 0.4455032620941779)
1 4.17 85 76
vel: 4.17 (0.21918557339454026, 0.4493970231495865)
1 4.23 85 76
vel: 4.23 (0.21130913087034742, 0.45315389351831925)
1 4.26 86 77
vel: 4.26 (0.2033683215378943, 0.4567727288213064)
1 4.33 86 77
vel: 4.33 (0.19536556424463924, 0.460252426726214)
1 4.37 86 78
vel: 4.37 (0.18730329670795243, 0.4635919272833888)
1 4.43 86 78
vel: 4.43 (0.17918397477265557, 0.4667902132486006)
1 4.46 86 79
vel: 4.46 (0.17101007166283466, 0.46984631039295266)
1 4.53 86 79
vel: 4.53 (0.16278407722857935, 0.47275928779966137)
1 4.56 87 80
vel: 4.56 (0.1545084971874786, 0.4755282581475768)
1 4.63 87 80
vel: 4.63 (0.14618585236136994, 0.478152377981516)
1 4.66 87 80
vel: 4.66 (0.13781867790849844, 0.48063084796915234)
1 4.73 87 81
vel: 4.73 (0.12940952255125637, 0.482962913144533)
1 4.76 87 81
vel: 4.76 (0.12096094779982991, 0.4851478631379962)
1 4.83 87 82
vel: 4.83 (0.11247552717193798, 0.4871850323926168)
1 4.86 87 82
vel: 4.86 (0.10395584540887626, 0.48907380036689574)
1 4.93 87 83
vel: 4.93 (0.09540449768827841, 0.49081359172383543)
1 4.96 88 83
vel: 4.96 (0.08682408883346682, 0.49240387650610273)
1 5.03 88 84
vel: 5.03 (0.07821723252011736, 0.4938441702975638)
1 5.06 88 84
vel: 5.06 (0.06958655048003948, 0.4951340343707784)
1 5.12 88 85
vel: 5.12 (0.06093467170256872, 0.4962730758206675)
1 5.16 88 85
vel: 5.16 (0.05226423163382776, 0.49726094768413986)
1 5.22 88 86
vel: 5.22 (0.04357787137382729, 0.498097349045878)
1 5.26 88 86
vel: 5.26 (0.0348782368720606, 0.49878202512991265)
1 5.32 88 87
