vel: 0.01 (0.4999238475781951, 0.008726203218643036)
vel: 1.01 (0.4999238475781951, 0.008726203218643036)
vel: 1.08 (0.49969541350954927, 0.017449748351253902)
vel: 1.11 (0.4993147673772853, 0.02616797812147098)
vel: 1.18 (0.49878202512991265, 0.0348782368720606)
vel: 1.21 (0.4980973490458709, 0.04357787137382729)
vel: 1.28 (0.49726094768413986, 0.05226423163382776)
vel: 1.31 (0.4962730758206604, 0.06093467170257583)
vel: 1.38 (0.4951340343707855, 0.06958655048003237)
vel: 1.41 (0.4938441702975709, 0.07821723252011736)
vel: 1.48 (0.49240387650610273, 0.08682408883346682)
vel: 1.51 (0.49081359172383543, 0.0954044976882713)
vel: 1.58 (0.48907380036690995, 0.10395584540887626)
vel: 1.61 (0.4871850323926168, 0.11247552717193088)
vel: 1.68 (0.4851478631379962, 0.12096094779983702)
vel: 1.71 (0.482962913144533, 0.12940952255126348)
vel: 1.77 (0.48063084796916655, 0.13781867790849844)
vel: 1.81 (0.478152377981516, 0.14618585236136994)
vel: 1.87 (0.4755282581475768, 0.1545084971874715)
vel: 1.91 (0.47275928779966137, 0.16278407722857935)
vel: 1.97 (0.46984631039295266, 0.17101007166283466)
vel: 2.00 (0.4667902132486006, 0.17918397477264847)
vel: 2.07 (0.4635919272833888, 0.18730329670795953)
vel: 2.10 (0.460252426726214, 0.19536556424463924)
vel: 2.17 (0.4567727288213064, 0.2033683215379014)
vel: 2.21 (0.45315389351831925, 0.21130913087034742)
vel: 2.27 (0.4493970231495865, 0.21918557339454026)
vel: 2.30 (0.4455032620941779, 0.22699524986977337)
vel: 2.37 (0.44147379642946305, 0.23473578139294204)
vel: 2.40 (0.4373098535697011, 0.24240481012316906)
vel: 2.47 (0.4330127018922241, 0.25)
vel: 2.50 (0.42858365035105805, 0.257519037455026)
vel: 2.57 (0.42402404807820915, 0.2649596321166001)
vel: 2.60 (0.419335283972714, 0.27231951750751193)
vel: 2.67 (0.4145187862775259, 0.2795964517353724)
vel: 2.70 (0.40957602214449196, 0.28678821817551636)
vel: 2.77 (0.4045084971874786, 0.29389262614623135)
vel: 2.80 (0.3993177550236453, 0.30090751157602824)
vel: 2.87 (0.39400537680336356, 0.307830737662826)
vel: 2.90 (0.38857298072848323, 0.3146601955249224)
vel: 2.97 (0.38302222155948584, 0.32139380484326807)
vel: 3.03 (0.37735479011138295, 0.3280295144952561)
vel: 3.07 (0.37157241273870056, 0.33456530317943134)
vel: 3.13 (0.3656768508095922, 0.34099918003124685)
vel: 3.17 (0.35966990016932243, 0.34732918522949774)
vel: 3.23 (0.3535533905932766, 0.3535533905932766)
vel: 3.27 (0.34732918522949774, 0.35966990016932243)
vel: 3.33 (0.34099918003124685, 0.3656768508095922)
vel: 3.37 (0.33456530317943134, 0.37157241273870056)
